article_id,predicted_summary,tags,notes
NEWS_0032," Wu-Tang Clan's chief producer, RZA, writes in his forthcoming memoir, ""The Tao of Wu"" RZA was acquitted on an attempted murder charge that could have put him behind bars for eight years . RZA says if he had been imprisoned or if Method Man had been killed, the band never would have formed",,Faithful — memoir title correct; acquittal and Method Man detail consistent with reference.
NEWS_0089," Karl Bishop sentenced to life in prison for killing Rob Knox and four of his friends in London last May . Judge: ""You are at present a highly dangerous man"" Knox, 18, had rushed out of the bar after he heard Bishop had threatened his younger brother . He ended up being stabbed five times, once in a main artery.",HE,Predicted says Bishop killed Knox and four friends — reference says Bishop attacked Knox with 2 knives but does not mention four friends dying; hallucinated entity count.
NEWS_0056," Freddie Hubbard died Monday morning in Sherman Oaks, California, after a long battle with heart disease . Hubbard made a series of funk- and fusion-oriented albums, such as the 1970 hit ""Red Clay"" He had been hospitalized since suffering a heart attack the day before Thanksgiving . Hubbard was named a National Endowment for the",DE,Reference leads with Grammy-winning trumpeter and mentions Art Blakey and Herbie Hancock collaborations — predicted drops Grammy and key collaborators entirely.
NEWS_0092," AR Rahman has worked on films since he was a teenager, taking over the role of family breadwinner after his father died . His Oscar performance and acceptance speech was one of the most memorable at this year's awards . He runs a music school in Chennai, the KM Music Conservatory",,Faithful — father's death age and KM Music Conservatory consistent with reference; no hallucinations.
NEWS_0066," Larry King: I was walking home from the library with nine books when I was nine years old . He remembers seeing three squad cars in front of his apartment building in Brownsville, Texas, in 1943 . He says he was more befuddled than anything else when he got home that day .",HE|CA,Reference says father died of heart attack and Larry was taken to see a movie by a police officer — predicted omits the death entirely and adds detail about library and nine books not in reference; Brownsville location may be hallucinated (reference says Brooklyn).
NEWS_0074," NEW: Janet Jackson ""will help open the entire show to honor Michael's celebrated career,"" MTV says . ""Michael Jackson's This Is It"" trailer makes its big screen debut September 18 with the Sony Pictures Animation release of ""Cloudy With a Chance of Meatballs""",,Faithful — Janet Jackson and documentary details consistent with reference.
NEWS_0012," Sean Penn's new film, ""Fair Game,"" will debut Thursday at Cannes . He was seated before the Senate Foreign Relations Committee as witness to an emergency . He called on lawmakers to demand transparency as the island nation moves forward in recovering from the massive earthquake .",HE,Predicted mentions Sean Penn's film Fair Game debuting at Cannes — reference is about his Haiti testimony before Senate; the Cannes film detail is hallucinated and unrelated to the article's topic.
NEWS_0090," A Twitter employee's personal e-mail account was hacked by a hacker, Twitter says . Security experts say it's best for users to create new passwords for each of their online accounts . Twitter co-founder says passwords should be complicated, combining letters, numbers and symbols.",,Faithful — hacking of personal email and password advice consistent with reference.
NEWS_0077," The studios became world famous when the Beatles were photographed crossing the road there for their album ""Abbey Road"" The Beatles recorded ""All You Need is Love"" and numerous other songs there . The studios are not for sale, the music label that owns them says .",CA,Reference says EMI is holding talks for revitalizing studios and Andrew Lloyd Webber expressed interest in buying — predicted says studios are not for sale which contradicts the reference's mention of active talks.
NEWS_0037," The soundtrack to the film -- which contains that ""Better Man"" -- is for those hardcore fans . There is a gorgeous demo of ""Nothing as It Seems"" from 1999, a demo of the 1990 Temple of the Dog track ""Say Hello 2 Heaven"" and an early version of ""Alive"" from Pearl Jam's second",DE,Reference highlights Crown of Thorns as emotional high point and notes absence of Jeremy/Daughter/Even Flow — predicted drops these key evaluative judgments and just lists tracks.
NEWS_0098," Jeffrey Wright: President Obama's response to Harvard professor's arrest was ""stupidly"" Wright: Obama should be able to take race out of policing, he says . He says he was arrested outside a bar where ""W"" cast and crew were celebrating the end of filming .",CA,Predicted attributes the word stupidly to Obama's response — reference says Obama catches flak for his remarks; predicted misattributes the quote framing.
NEWS_0048," Susan Atkins, 61, is battling terminal brain cancer . Atkins, who stabbed Sharon Tate to death more than 40 years ago, was denied parole Wednesday . Atkins was 21 when she and others participated in a two-night rampage that left seven people dead",HN,Predicted says Atkins stabbed Sharon Tate to death — reference specifies she stabbed Tate 16 times but Tate's death is omitted from reference focus; predicted adds age 61 which reference does not state.
NEWS_0105," Aerosmith's lead singer Steven Tyler fell off stage August 5 while dancing to ""Love in an Elevator"" He was airlifted to a local hospital for initial treatment before returning to Boston, Massachusetts . Tyler's fall was the second mishap for the lead singer during their tour with ZZ Top .",HN,Predicted gives specific date August 5 and song Love in an Elevator — reference does not mention these details; hallucinated specifics not in reference summary.
NEWS_0065," Mary J. Blige stars in new Tyler Perry film ""I Can Do Bad All By Myself"" Blige: ""I'm definitely gonna pursue this as a profession, acting"" ""I got all the lyrics for my songs from my life so and other people's",DE,Reference mentions Blige's nervousness about acting and film's redemption theme — predicted drops both key characterizations.
NEWS_0001," NEW: Roman Polanski arrested in Switzerland on a decades-old arrest warrant stemming from a sex charge in California . Polanski, 76, was arrested trying to enter Switzerland on Saturday, Zurich police say . He has lived in France for decades to avoid being arrested if he enters the United States .",HN,Predicted states Polanski is 76 — this specific age is not in the reference summary; hallucinated numeric.
NEWS_0016," Stuart Hughes, the British jeweler known for his expensive remakes of popular gadgets, is at it again with a diamond-clad iPhone 4 . The handmade bezel contains approximately 500 individual flawless diamonds that total more than 100 carats . Only two of these will ever be",HN,Predicted states 500 diamonds totaling 100 carats — reference does not cite these numbers; hallucinated numerics.
NEWS_0046," NEW: Source says Dr. Conrad Murray administered powerful drug that authorities believe killed Jackson . NEW: Investigators left Murray's Las Vegas home about noon, taking cell phones and a computer hard drive . Source: Murray allegedly gave Jackson anesthetic propofol in 24 hours before he died .",,Faithful — Murray Las Vegas search and propofol detail consistent with reference.
NEWS_0063," Pablo Picasso sketchbook with 33 pencil drawings disappeared from a locked glass case in a museum in Paris . Police were immediately alerted, as was a special unit that combats the trade in stolen cultural artifacts . The sketchbook has a red varnished cover with the word ""Album"" inscribed on it in gold lettering",,Faithful — sketchbook description and special unit detail consistent with reference.
NEWS_0071," Joan Rivers beat out 15 other contestants to win this season's ""Celebrity Apprentice"" The 75-year-old dynamo beat out poker champion Annie Duke in Sunday night's finale . The victory means $250,000 for Rivers' charity: God's Love We Deliver .",HN|HE,Predicted says 15 contestants and Rivers is 75 — reference does not cite either number; both are hallucinated. Charity name God's Love We Deliver is not in reference.
NEWS_0041," London court clears singer Amy Winehouse of assault after two-day trial . Singer accused of hitting a woman at a charity ball last year . She had pleaded not guilty to the charge of common assault . Winehouse and her husband Blake Fielder-Civil are divorcing .",,Faithful — not guilty verdict and Blake Fielder-Civil divorce consistent with reference.
